Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area,Region.1,longitude,latitude,NN_Prediction,Cluster_ID,Impact_Zone,is_anomaly,Anomaly_Flag,Regression_Prediction
Chhattisgarh,2019-06-30, Monthly,6.76,6608626.0,43.71,Rural,,,,11.947692,0,Low Impact,1,0,12.604570824022254
Chhattisgarh,2019-07-31, Monthly,4.54,6753622.0,43.53,Rural,,,,11.885243,0,Low Impact,1,0,12.57628092764524
Chhattisgarh,2019-08-31, Monthly,4.64,6607694.0,42.55,Rural,,,,12.06294,0,Low Impact,1,0,12.647610851634308
Chhattisgarh,2019-09-30, Monthly,8.33,6490776.0,43.38,Rural,,,,12.039402,0,Low Impact,1,0,12.645144521799542
Chhattisgarh,2019-10-31, Monthly,6.96,7043840.0,46.28,Rural,,,,11.378271,0,Low Impact,1,0,12.404856900887811
Chhattisgarh,2019-11-30, Monthly,2.77,6942931.0,43.56,Rural,,,,11.780924,0,Low Impact,1,0,12.529563685130025
Chhattisgarh,2019-12-31, Monthly,6.11,6569385.0,42.59,Rural,,,,12.0786915,0,Low Impact,1,0,12.655364188063032
Chhattisgarh,2020-01-31, Monthly,9.89,6236201.0,42.03,Rural,,,,12.311779,0,Low Impact,1,0,12.756307273927067
Chhattisgarh,2020-02-29, Monthly,7.89,6847173.0,45.05,Rural,,,,11.679382,0,Low Impact,1,0,12.497638773906285
Chhattisgarh,2020-03-31, Monthly,7.31,6894808.0,44.98,Rural,,,,11.659071,0,Low Impact,1,0,12.488745834640934
Chhattisgarh,2020-04-30, Monthly,0.0,6534321.0,39.43,Rural,,,,12.429168,0,Low Impact,1,0,12.78044738630837
Chhattisgarh,2020-05-31, Monthly,7.64,5454091.0,35.56,Rural,,,,13.604653,0,Low Impact,1,0,13.183546956187042
Chhattisgarh,2020-06-30, Monthly,10.14,5781095.0,38.66,Rural,,,,12.885894,0,Low Impact,1,0,12.990341666812643
Delhi,2019-05-31, Monthly,12.56,169487.0,42.33,Rural,,,,15.555557,0,Low Impact,1,0,14.206878997887486
Delhi,2019-06-30, Monthly,9.33,149076.0,35.74,Rural,,,,15.993931,0,Low Impact,1,0,14.45503282153009
Delhi,2019-07-31, Monthly,11.07,166605.0,40.53,Rural,,,,15.625235,0,Low Impact,1,0,14.274011171201241
Delhi,2019-08-31, Monthly,17.18,135407.0,35.21,Rural,,,,16.057026,0,Low Impact,1,0,14.477888320247388
Delhi,2019-09-30, Monthly,12.5,166056.0,40.68,Rural,,,,15.619334,0,Low Impact,1,0,14.268606956217019
Delhi,2019-10-31, Monthly,15.84,149511.0,37.9,Rural,,,,15.807206,0,Low Impact,1,0,14.375202636974613
Delhi,2019-11-30, Monthly,11.11,178768.0,42.71,Rural,,,,15.537883,0,Low Impact,1,0,14.190617178475915
Delhi,2019-12-31, Monthly,16.97,145671.0,37.08,Rural,,,,15.879148,0,Low Impact,1,0,14.406393919381845
Delhi,2020-01-31, Monthly,13.48,157791.0,38.36,Rural,,,,15.764486,0,Low Impact,1,0,14.356229195180632
Delhi,2020-02-29, Monthly,13.81,147500.0,35.84,Rural,,,,15.986045,0,Low Impact,1,0,14.451721535103301
Delhi,2020-03-31, Monthly,15.18,152413.0,37.45,Rural,,,,15.843497,0,Low Impact,1,0,14.391112916579203
Delhi,2020-04-30, Monthly,20.69,115487.0,30.21,Rural,,,,17.354267,2,High Impact,1,0,14.667237109445628
Delhi,2020-05-31, Monthly,22.76,129610.0,34.65,Rural,,,,16.124756,2,High Impact,1,0,14.49995452626042
Delhi,2020-06-30, Monthly,21.14,112108.0,29.22,Rural,,,,17.740736,2,High Impact,1,0,14.70459200651953
Goa,2019-05-31, Monthly,2.91,179340.0,39.16,Rural,,,,15.694806,0,Low Impact,1,0,14.321509506798604
Goa,2019-06-30, Monthly,5.45,170471.0,38.19,Rural,,,,15.772089,0,Low Impact,1,0,14.359448903721221
Goa,2019-07-31, Monthly,10.98,167437.0,39.81,Rural,,,,15.659631,0,Low Impact,1,0,14.300385845512501
Goa,2019-08-31, Monthly,1.98,183603.0,39.61,Rural,,,,15.663777,0,Low Impact,1,0,14.30387297403145
Goa,2019-09-30, Monthly,3.61,163215.0,35.78,Rural,,,,15.9831705,0,Low Impact,1,0,14.450149936623133
Goa,2019-10-31, Monthly,7.21,177440.0,40.36,Rural,,,,15.62631,0,Low Impact,1,0,14.277675392942799
Goa,2019-11-30, Monthly,23.71,159489.0,44.09,Rural,,,,15.503047,2,High Impact,1,0,14.144326380418345
Goa,2019-12-31, Monthly,3.54,177155.0,38.7,Rural,,,,15.726024,0,Low Impact,1,0,14.339014488993726
Goa,2020-01-31, Monthly,5.38,158936.0,35.36,Rural,,,,16.028187,0,Low Impact,1,0,14.466683027294117
Goa,2020-02-29, Monthly,0.0,171672.0,36.11,Rural,,,,15.950114,0,Low Impact,1,0,14.435932137270463
Goa,2020-04-30, Monthly,15.91,181657.0,45.36,Rural,,,,15.482324,0,Low Impact,1,0,14.092109904988348
Goa,2020-05-31, Monthly,20.0,128538.0,33.71,Rural,,,,16.24725,2,High Impact,1,0,14.534908106214699
Gujarat,2019-05-31, Monthly,2.88,13954728.0,52.03,Rural,,,,6.3557568,1,Moderate Impact,1,0,10.527594661603022
Gujarat,2019-06-30, Monthly,4.77,13199281.0,50.12,Rural,,,,6.7919755,1,Moderate Impact,1,0,10.780101328669819
Gujarat,2019-07-31, Monthly,4.58,14327083.0,54.21,Rural,,,,6.4217834,1,Moderate Impact,1,0,10.357420127477788
Gujarat,2019-08-31, Monthly,3.7,13507342.0,50.57,Rural,,,,6.599113,1,Moderate Impact,1,0,10.689271179952813
Gujarat,2019-09-30, Monthly,6.29,13280783.0,51.01,Rural,,,,6.748761,1,Moderate Impact,1,0,10.727615359218127
Gujarat,2019-10-31, Monthly,4.91,13828512.0,52.27,Rural,,,,6.456357,1,Moderate Impact,1,0,10.549145325637785
Gujarat,2019-11-30, Monthly,4.68,14487815.0,54.55,Rural,,,,6.379444,1,Moderate Impact,1,0,10.306145832025651
Gujarat,2019-12-31, Monthly,3.46,13877825.0,51.51,Rural,,,,6.376587,1,Moderate Impact,1,0,10.565315938165174
Gujarat,2020-01-31, Monthly,5.35,14301844.0,54.07,Rural,,,,6.4142294,1,Moderate Impact,1,0,10.36866830929146
Gujarat,2020-02-29, Monthly,6.64,13973042.0,53.48,Rural,,,,6.5234985,1,Moderate Impact,1,0,10.469662943140321
Gujarat,2020-03-31, Monthly,7.59,13483615.0,52.06,Rural,,,,6.667836,1,Moderate Impact,1,0,10.639991943320467
Gujarat,2020-04-30, Monthly,12.0,8587594.0,34.77,Rural,,,,13.017824,0,Low Impact,1,0,12.457755397216959
Gujarat,2020-05-31, Monthly,14.58,11121124.0,46.31,Rural,,,,8.485019,0,Low Impact,1,0,11.421415423938438
Gujarat,2020-06-30, Monthly,1.41,13243922.0,47.72,Rural,,,,6.8606715,0,Low Impact,1,0,10.857929792890527
Haryana,2019-05-31, Monthly,14.54,5249186.0,45.12,Rural,,,,12.608235,0,Low Impact,1,0,12.880055794551653
Haryana,2019-06-30, Monthly,23.08,4745178.0,45.23,Rural,,,,12.88702,2,High Impact,1,0,12.997425629513598
Haryana,2019-07-31, Monthly,16.22,4826560.0,42.17,Rural,,,,13.028694,0,Low Impact,1,0,13.09076267032696
Haryana,2019-08-31, Monthly,30.94,4558306.0,48.23,Rural,,,,13.077709,2,High Impact,1,0,12.931718736845133
Haryana,2019-09-30, Monthly,16.36,5127956.0,44.72,Rural,,,,12.69704,0,Low Impact,1,0,12.92402752376676
Haryana,2019-10-31, Monthly,24.17,4798833.0,46.07,Rural,,,,12.814385,2,High Impact,1,0,12.95349429271145
Haryana,2019-11-30, Monthly,16.59,4875763.0,42.48,Rural,,,,12.981793,0,Low Impact,1,0,13.06746619366579
Haryana,2019-12-31, Monthly,29.56,4603484.0,47.4,Rural,,,,12.959269,2,High Impact,1,0,12.951469281876319
Haryana,2020-01-31, Monthly,16.21,5062293.0,43.74,Rural,,,,12.793429,0,Low Impact,1,0,12.976019316549516
Haryana,2020-02-29, Monthly,27.19,4570108.0,45.37,Rural,,,,12.979266,2,High Impact,1,0,13.034437607468256
Haryana,2020-03-31, Monthly,23.92,4366148.0,41.4,Rural,,,,13.329724,2,High Impact,1,0,13.230109694230663
Haryana,2020-04-30, Monthly,41.61,4041050.0,49.85,Rural,,,,13.599659,2,High Impact,-1,1,12.996546446781577
Haryana,2020-05-31, Monthly,34.22,3914193.0,42.78,Rural,,,,13.480061,2,High Impact,1,0,13.288062903621196
Haryana,2020-06-30, Monthly,35.57,4357835.0,48.53,Rural,,,,13.242856,2,High Impact,-1,1,12.968944957508914
Himachal Pradesh,2019-05-31, Monthly,13.68,2045760.0,44.23,Rural,,,,14.4535,0,Low Impact,1,0,13.684702430895912
Himachal Pradesh,2019-06-30, Monthly,11.43,1957081.0,41.18,Rural,,,,14.618808,0,Low Impact,1,0,13.818642925282985
Himachal Pradesh,2019-07-31, Monthly,20.59,1916824.0,44.91,Rural,,,,14.500468,2,High Impact,1,0,13.690668065311797
Himachal Pradesh,2019-08-31, Monthly,18.56,1969248.0,44.91,Rural,,,,14.470699,0,Low Impact,1,0,13.678037626261656
Himachal Pradesh,2019-09-30, Monthly,15.98,2039804.0,45.02,Rural,,,,14.426597,0,Low Impact,1,0,13.656978581656876
Himachal Pradesh,2019-10-31, Monthly,15.81,1946957.0,42.81,Rural,,,,14.55507,0,Low Impact,1,0,13.760918951610114
Himachal Pradesh,2019-11-30, Monthly,22.86,2024409.0,48.5,Rural,,,,14.817938,2,High Impact,1,0,13.532241230332263
Himachal Pradesh,2019-12-31, Monthly,19.46,1922821.0,44.05,Rural,,,,14.527541,2,High Impact,1,0,13.720965729370489
Himachal Pradesh,2020-01-31, Monthly,16.67,2041035.0,45.11,Rural,,,,14.422592,0,Low Impact,1,0,13.65336010773475
Himachal Pradesh,2020-02-29, Monthly,15.42,1952464.0,42.45,Rural,,,,14.564725,0,Low Impact,1,0,13.772879721445351
Himachal Pradesh,2020-03-31, Monthly,17.71,1800426.0,40.17,Rural,,,,14.764822,0,Low Impact,1,0,13.893664586933527
Himachal Pradesh,2020-04-30, Monthly,2.13,984171.0,18.43,Rural,,,,22.300562,0,Low Impact,-1,1,14.892744924194737
Himachal Pradesh,2020-05-31, Monthly,25.64,1732050.0,42.62,Rural,,,,14.680387,2,High Impact,1,0,13.81970906726235
Himachal Pradesh,2020-06-30, Monthly,1.12,2230075.0,41.2,Rural,,,,14.469634,0,Low Impact,1,0,13.752132674856258
Jammu & Kashmir,2019-05-31, Monthly,12.78,2495186.0,40.57,Rural,,,,14.369475,0,Low Impact,1,0,13.711513098287092
Jammu & Kashmir,2019-06-30, Monthly,12.09,2423742.0,39.02,Rural,,,,14.537128,0,Low Impact,1,0,13.785936341210252
Jammu & Kashmir,2019-07-31, Monthly,13.67,2549316.0,41.71,Rural,,,,14.271902,0,Low Impact,1,0,13.656394350884995
Jammu & Kashmir,2019-08-31, Monthly,11.32,2778624.0,44.17,Rural,,,,14.048278,0,Low Impact,1,0,13.510349153521146
Jammu & Kashmir,2019-10-31, Monthly,19.27,2477621.0,43.08,Rural,,,,14.252193,2,High Impact,1,0,13.623101163433454
Jammu & Kashmir,2019-11-30, Monthly,14.73,2415724.0,39.69,Rural,,,,14.482989,0,Low Impact,1,0,13.763138474483398
Jammu & Kashmir,2020-01-31, Monthly,22.19,2373488.0,42.56,Rural,,,,14.328876,2,High Impact,1,0,13.66738292479904
Jammu & Kashmir,2020-02-29, Monthly,21.23,2163397.0,38.25,Rural,,,,14.738181,2,High Impact,1,0,13.877081510058163
Jammu & Kashmir,2020-03-31, Monthly,16.0,2361004.0,39.06,Rural,,,,14.565962,0,Low Impact,1,0,13.799575321534062
Jammu & Kashmir,2020-05-31, Monthly,2.22,2716966.0,38.46,Rural,,,,14.434808,0,Low Impact,1,0,13.735959847024663
Jammu & Kashmir,2020-06-30, Monthly,18.97,2049617.0,34.94,Rural,,,,15.150706,2,High Impact,1,0,14.026666125929825
Jharkhand,2019-05-31, Monthly,7.11,7035766.0,39.04,Rural,,,,12.234557,0,Low Impact,1,0,12.674029822819652
Jharkhand,2019-06-30, Monthly,8.46,7319782.0,41.12,Rural,,,,11.855879,0,Low Impact,1,0,12.528829666972142
Jharkhand,2019-07-31, Monthly,9.98,6958404.0,39.66,Rural,,,,12.1942835,0,Low Impact,1,0,12.669784401371363
Jharkhand,2019-08-31, Monthly,12.06,7015356.0,40.83,Rural,,,,12.038151,0,Low Impact,1,0,12.61287845660787
Jharkhand,2019-09-30, Monthly,7.12,7500122.0,41.24,Rural,,,,11.753568,0,Low Impact,1,0,12.48095142188974
Jharkhand,2019-10-31, Monthly,6.57,7761243.0,42.33,Rural,,,,11.489506,0,Low Impact,1,0,12.377808124975255
Jharkhand,2019-11-30, Monthly,8.07,7279628.0,40.26,Rural,,,,11.969797,0,Low Impact,1,0,12.570246425197686
Jharkhand,2019-12-31, Monthly,15.15,6873437.0,41.09,Rural,,,,12.0799,0,Low Impact,1,0,12.637474223917625
Jharkhand,2020-01-31, Monthly,6.16,7868736.0,42.43,Rural,,,,11.419375,0,Low Impact,1,0,12.348219000978652
Jharkhand,2020-02-29, Monthly,9.06,7932402.0,44.05,Rural,,,,11.153361,0,Low Impact,1,0,12.273086007537128
Jharkhand,2020-03-31, Monthly,5.01,7157454.0,37.96,Rural,,,,12.365302,0,Low Impact,1,0,12.684574398013094
Jharkhand,2020-04-30, Monthly,41.72,4280434.0,36.92,Rural,,,,13.820057,2,High Impact,-1,1,13.416116990193817
Jharkhand,2020-05-31, Monthly,55.1,3315038.0,37.03,Rural,,,,14.283759,2,High Impact,-1,1,13.644648373539457
Jharkhand,2020-06-30, Monthly,21.53,6375114.0,40.65,Rural,,,,12.37447,2,High Impact,1,0,12.773774824133945
Karnataka,2019-05-31, Monthly,5.46,13911440.0,46.36,Rural,,,,6.985019,0,Low Impact,1,0,10.747303101444409
Karnataka,2019-06-30, Monthly,5.98,12888490.0,43.12,Rural,,,,8.714364,0,Low Impact,1,0,11.11334904714804
Karnataka,2019-07-31, Monthly,0.52,12169808.0,38.42,Rural,,,,11.180266,0,Low Impact,1,0,11.459976592198796
Karnataka,2019-08-31, Monthly,0.37,12686470.0,39.93,Rural,,,,10.456391,0,Low Impact,1,0,11.279764011712807
Karnataka,2019-09-30, Monthly,3.2,13741892.0,44.45,Rural,,,,7.887049,0,Low Impact,1,0,10.858649963669162
Karnataka,2019-10-31, Monthly,7.13,12803527.0,43.1,Rural,,,,8.737807,0,Low Impact,1,0,11.134557258717805
Karnataka,2019-11-30, Monthly,1.19,11537217.0,36.45,Rural,,,,12.1435175,0,Low Impact,1,0,11.685098333487407
Karnataka,2019-12-31, Monthly,0.41,12756132.0,39.92,Rural,,,,10.461047,0,Low Impact,1,0,11.263349545057213
Karnataka,2020-01-31, Monthly,2.57,13938874.0,44.52,Rural,,,,7.824577,0,Low Impact,1,0,10.808607680343172
Karnataka,2020-02-29, Monthly,4.11,12753657.0,41.33,Rural,,,,9.702609,0,Low Impact,1,0,11.211902886453466
Karnataka,2020-03-31, Monthly,2.39,12853818.0,40.85,Rural,,,,9.953692,0,Low Impact,1,0,11.205487991784754
Karnataka,2020-04-30, Monthly,33.17,9330400.0,43.25,Rural,,,,10.438155,2,High Impact,1,0,11.965796275380622
Karnataka,2020-05-31, Monthly,23.72,10626328.0,43.09,Rural,,,,9.645121,2,High Impact,1,0,11.65947578677153
Karnataka,2020-06-30, Monthly,10.92,15396213.0,53.37,Rural,,,,5.6385875,1,Moderate Impact,1,0,10.130840486313472
Kerala,2019-05-31, Monthly,6.63,5184355.0,38.07,Rural,,,,13.24554,0,Low Impact,1,0,13.155890218298788
Kerala,2019-06-30, Monthly,9.0,5605627.0,42.19,Rural,,,,12.622636,0,Low Impact,1,0,12.902324978624815
Kerala,2019-07-31, Monthly,4.95,4855393.0,34.96,Rural,,,,13.988345,0,Low Impact,1,0,13.349936344786308
Kerala,2019-08-31, Monthly,10.32,5233449.0,39.9,Rural,,,,13.02111,0,Low Impact,1,0,13.076516957222566
Kerala,2019-09-30, Monthly,5.35,5400499.0,38.97,Rural,,,,13.040212,0,Low Impact,1,0,13.070596046120343
Kerala,2019-10-31, Monthly,9.14,5328825.0,40.02,Rural,,,,12.960816,0,Low Impact,1,0,13.0491089666697
Kerala,2019-11-30, Monthly,5.0,4557906.0,32.71,Rural,,,,14.824159,0,Low Impact,1,0,13.504656732057061
Kerala,2019-12-31, Monthly,10.77,5065804.0,38.67,Rural,,,,13.238546,0,Low Impact,1,0,13.16230660145054
Kerala,2020-01-31, Monthly,4.11,5307026.0,37.66,Rural,,,,13.235828,0,Low Impact,1,0,13.141468328758922
Kerala,2020-02-29, Monthly,8.91,5203579.0,38.84,Rural,,,,13.151816,0,Low Impact,1,0,13.122837985781743
Kerala,2020-03-31, Monthly,8.85,4141953.0,30.87,Rural,,,,15.742333,0,Low Impact,1,0,13.672785904255178
Kerala,2020-04-30, Monthly,10.71,1754170.0,13.33,Rural,,,,24.993332,0,Low Impact,-1,1,14.895470652724805
Kerala,2020-05-31, Monthly,23.38,3799919.0,33.62,Rural,,,,14.752315,2,High Impact,1,0,13.653689444076615
Kerala,2020-06-30, Monthly,27.66,3952088.0,37.01,Rural,,,,13.970893,2,High Impact,1,0,13.49190302967831
Madhya Pradesh,2019-05-31, Monthly,3.63,15349838.0,37.97,Rural,,,,11.457193,0,Low Impact,1,0,10.710425984452174
Madhya Pradesh,2019-06-30, Monthly,4.25,16294794.0,40.48,Rural,,,,9.900455,0,Low Impact,1,0,10.390115247046616
Madhya Pradesh,2019-07-31, Monthly,3.92,16274707.0,40.2,Rural,,,,10.067125,0,Low Impact,1,0,10.405289550679054
Madhya Pradesh,2019-08-31, Monthly,4.94,16559137.0,41.25,Rural,,,,9.42635,0,Low Impact,1,0,10.29800684579899
Madhya Pradesh,2019-09-30, Monthly,3.08,16159315.0,39.4,Rural,,,,10.547698,0,Low Impact,1,0,10.462618698312236
Madhya Pradesh,2019-10-31, Monthly,2.98,17060638.0,41.46,Rural,,,,9.264677,0,Low Impact,1,0,10.169429851246775
Madhya Pradesh,2019-11-30, Monthly,2.72,16306428.0,39.44,Rural,,,,10.513015,0,Low Impact,1,0,10.425698578508024
Madhya Pradesh,2019-12-31, Monthly,2.94,16854647.0,40.77,Rural,,,,9.687198,0,Low Impact,1,0,10.244526797040432
Madhya Pradesh,2020-01-31, Monthly,3.66,16183702.0,39.35,Rural,,,,10.575352,0,Low Impact,1,0,10.45858866833884
Madhya Pradesh,2020-02-29, Monthly,4.42,16178044.0,39.57,Rural,,,,10.446013,0,Low Impact,1,0,10.451831664498375
Madhya Pradesh,2020-03-31, Monthly,1.19,16480441.0,38.9,Rural,,,,10.8234415,0,Low Impact,1,0,10.40370522142167
Madhya Pradesh,2020-04-30, Monthly,12.5,14238959.0,37.88,Rural,,,,11.482348,0,Low Impact,1,0,10.981390357792737
Madhya Pradesh,2020-05-31, Monthly,22.46,13099601.0,39.24,Rural,,,,10.796213,2,High Impact,1,0,11.205696782975675
Madhya Pradesh,2020-06-30, Monthly,6.46,16748971.0,41.5,Rural,,,,9.264579,0,Low Impact,1,0,10.243042938130802
Maharashtra,2019-05-31, Monthly,3.67,23896858.0,47.11,Rural,,,,5.7621107,0,Low Impact,1,0,8.313848255838398
Maharashtra,2019-06-30, Monthly,4.34,23056511.0,45.69,Rural,,,,6.507139,0,Low Impact,1,0,8.5687239077711
Maharashtra,2019-07-31, Monthly,3.66,24843750.0,48.8,Rural,,,,5.006542,0,Low Impact,1,0,8.023337197453195
Maharashtra,2019-08-31, Monthly,3.76,26835389.0,52.67,Rural,,,,3.953106,1,Moderate Impact,1,0,7.400653165796502
Maharashtra,2019-09-30, Monthly,4.4,25219281.0,49.74,Rural,,,,4.6771193,0,Low Impact,1,0,7.898165748273424
Maharashtra,2019-10-31, Monthly,3.81,24330249.0,47.61,Rural,,,,5.5166416,0,Low Impact,1,0,8.19097703524697
Maharashtra,2019-11-30, Monthly,3.68,24881383.0,48.53,Rural,,,,5.109272,0,Low Impact,1,0,8.024236005375037
Maharashtra,2019-12-31, Monthly,3.03,26357625.0,50.98,Rural,,,,4.3070645,1,Moderate Impact,1,0,7.578137888711023
Maharashtra,2020-01-31, Monthly,3.8,25881398.0,50.36,Rural,,,,4.473178,1,Moderate Impact,1,0,7.715758713091731
Maharashtra,2020-02-29, Monthly,4.24,25293535.0,49.36,Rural,,,,4.806857,0,Low Impact,1,0,7.8943016000737165
Maharashtra,2020-03-31, Monthly,5.38,23130976.0,45.6,Rural,,,,6.5535517,0,Low Impact,1,0,8.55410505309679
Maharashtra,2020-04-30, Monthly,25.28,15014802.0,37.42,Rural,,,,11.726352,2,High Impact,1,0,10.811446171032726
Maharashtra,2020-05-31, Monthly,16.89,18423447.0,41.21,Rural,,,,9.312861,0,Low Impact,1,0,9.850317710194343
Maharashtra,2020-06-30, Monthly,9.4,23601016.0,48.34,Rural,,,,5.2110195,0,Low Impact,1,0,8.3397258690504
Meghalaya,2019-05-31, Monthly,3.16,1119011.0,66.13,Rural,,,,18.697412,1,Moderate Impact,-1,1,13.09965596101652
Meghalaya,2019-06-30, Monthly,4.23,1024797.0,61.09,Rural,,,,17.452036,1,Moderate Impact,1,0,13.308380692901766
Meghalaya,2019-07-31, Monthly,1.03,1158511.0,66.67,Rural,,,,18.830618,1,Moderate Impact,-1,1,13.070207937572714
Meghalaya,2019-08-31, Monthly,0.52,1065725.0,60.86,Rural,,,,17.36694,1,Moderate Impact,-1,1,13.307009245266944
Meghalaya,2019-09-30, Monthly,0.24,1162159.0,66.02,Rural,,,,18.635115,1,Moderate Impact,-1,1,13.09332046415637
Meghalaya,2019-10-31, Monthly,3.7,1080609.0,63.44,Rural,,,,17.989674,1,Moderate Impact,1,0,13.208195726542467
Meghalaya,2019-11-30, Monthly,1.5,1205703.0,69.03,Rural,,,,19.500488,1,Moderate Impact,-1,1,12.971730676452507
Meghalaya,2019-12-31, Monthly,1.8,1102997.0,63.18,Rural,,,,17.904768,1,Moderate Impact,-1,1,13.212398391441292
